time	V(n002)	V(n003)
4.618219882762896e-02	1.295487e+01	4.703767e+00
4.637751132762896e-02	1.268166e+01	4.701989e+00
4.657282382762896e-02	1.241568e+01	4.700200e+00
4.676813632762897e-02	1.215673e+01	4.698400e+00
4.696344882762897e-02	1.190462e+01	4.696589e+00
4.715876132762897e-02	1.165918e+01	4.694765e+00
4.735407382762898e-02	1.142023e+01	4.692927e+00
4.754938632762898e-02	1.118758e+01	4.691075e+00
4.774469882762898e-02	1.096109e+01	4.689208e+00
4.794001132762898e-02	1.074057e+01	4.687324e+00
4.813532382762899e-02	1.052588e+01	4.685422e+00
4.833063632762899e-02	1.031686e+01	4.683502e+00
4.852594882762899e-02	1.011335e+01	4.681561e+00
4.872126132762900e-02	9.915215e+00	4.679599e+00
4.891657382762900e-02	9.722310e+00	4.677614e+00
4.911188632762900e-02	9.534492e+00	4.675605e+00
4.930719882762900e-02	9.351629e+00	4.673570e+00
4.950251132762901e-02	9.173588e+00	4.671506e+00
4.969782382762901e-02	9.000240e+00	4.669414e+00
4.989313632762901e-02	8.831461e+00	4.667289e+00
5.008844882762901e-02	8.667128e+00	4.665130e+00
5.028376132762902e-02	8.507123e+00	4.662935e+00
5.047907382762902e-02	8.356244e+00	4.660776e+00
5.067438632762902e-02	8.342299e+00	4.660557e+00
5.072764989624624e-02	8.550822e+00	4.663498e+00
5.075157185875843e-02	8.781096e+00	4.666596e+00
5.077333816612647e-02	9.048114e+00	4.669965e+00
5.079627845469090e-02	9.336798e+00	4.673350e+00
5.087414058567108e-02	1.032025e+01	4.683321e+00
5.111103317671728e-02	1.324487e+01	4.704937e+00
5.130634567671728e-02	1.557789e+01	4.718076e+00
5.150165817671729e-02	1.782563e+01	4.728448e+00
5.169697067671729e-02	1.997243e+01	4.736903e+00
5.189228317671729e-02	2.200666e+01	4.744019e+00
5.208759567671729e-02	2.391732e+01	4.750091e+00
5.228290817671730e-02	2.569408e+01	4.755307e+00
5.247822067671730e-02	2.732735e+01	4.759799e+00
5.267353317671730e-02	2.880831e+01	4.763656e+00
